,user_msg,expected_intent,expected_class,expected_attributes,expected_filter_attributes,processed_attributes,processed_filters,find_entity,find_intent
29,please change student with name paulo update age to 30,UPDATE,student,{'age': '30'},{'name': 'Paulo'},"{'name': 'name', 'student': 'paulo'}",{},student,UPDATE
30,"for students with name anderson, update age to 30",UPDATE,student,{'age': '30'},{'name': 'Anderson'},"{'students': 'students', 'name': 'name', '30': 'anderson'}",{},adolescent,UPDATE
32,update students,UPDATE,student,,,{},None,student,UPDATE
33,"please, when students have the name equal to anderson, update the age to 30.",UPDATE,student,{'age': '30'},{'name': 'Anderson'},None,None,None,None
34,update students setting the age to 42 when name is anderson,UPDATE,student,{'age': '42'},{'name': 'Anderson'},"{'students': 'students', 'age': 'age'}",{'name': 'name'},anderson,UPDATE
35,update students set the age to 42 when name is anderson,UPDATE,student,{'age': '42'},{'name': 'Anderson'},"{'students': 'students', 'age': 'age'}",{'name': 'name'},anderson,UPDATE
36,set students with age to 42 when name is anderson,UPDATE,student,{'age': '42'},{'name': 'Anderson'},{'name': 'name'},{'students': 'with age'},anderson,UPDATE
37,"for students with name anderson, update the age to 42",UPDATE,student,{'age': '42'},{'name': 'Anderson'},"{'students': 'students', 'name': 'name', '42': 'anderson'}",{},adolescent,UPDATE
38,please change student with name anderson update age to 30,UPDATE,student,{'age': '30'},{'name': 'Anderson'},{'30': 'anderson'},{'student': 'name'},adolescent,UPDATE
39,"please, change the student with name='anderson', updating the age to 30",UPDATE,student,{'age': '30'},{'name': 'Anderson'},{'anderson': 'anderson'},{'student': 'name'},anderson,UPDATE
40,"update the age to 42, for students with name='anderson'",UPDATE,student,{'age': '42'},{'name': 'Anderson'},"{'students': 'students', 'name': 'name'}",{'age': 'age'},ages,UPDATE
41,add a student with name joseph,ADD,student,{'name': 'Joseph'},,"{'student': 'student', 'name': 'name'}",{},adolescent,ADD
42,get students,READ,student,,,{},{},student,READ
43,add article with title 'dome: a no-code tool',ADD,article,{'title': 'DomE: A no-code tool'},,"{'title': 'title', ""'"": 'dome'}",{},ad,ADD
44,get articles,READ,article,,,{},{},article,READ
45,"update the articles with id=1, setting the title='new title'",UPDATE,article,{'title': 'new title'},{'id': '1'},{'title': 'new title'},{'id': 'id'},article,UPDATE
46,"add article with title='title 2', author='rodrigo'",ADD,article,"{'title': 'title 2', 'author': 'Rodrigo'}",,"{'title': 'title', 'author': 'author'}",{},article,ADD
47,"update the articles with id=1, setting the co-author='layza'",UPDATE,article,{'co_author': 'Layza'},{'id': '1'},{'co_author': 'co-author'},{'id': 'id'},article,UPDATE
48,delete the article with id=1,DELETE,article,{'id': '1'},,{'id': 'id'},{},article,DELETE
49,add a student with age=45,ADD,student,{'age': '45'},,"{'student': 'student', 'age': 'age'}",{},age_45,ADD
50,show students,READ,student,,,{'students': 'students'},{},e_mail,READ
51,"include company with name=acme, address=150 coconut street",ADD,company,"{'name': 'ACME', 'address': '150 Coconut Street'}",,"{'company': 'name=acme, address=150 coconut street'}",{},acme,ADD
52,list companies,READ,company,,,None,None,None,READ
53,"add another company with name=caju enterprises, owner=anderson gomes and address=200 cumbuco street",ADD,company,"{'name': 'Caju Enterprises', 'owner': 'Anderson Gomes', 'address': '200 Cumbuco Street'}",,"{'company': 'name=caju enterprises', 'owner': 'owner', 'street': 'gomes'}",{},ad,ADD
54,which company has caju in its name?,READ,company,{'name': 'caju'},,None,None,None,None
55,"is there a company with ""caju"" in its name?",READ,company,{'name': 'caju'},,None,None,None,None
56,delete the company whose name is acme,DELETE,company,{'name': 'ACME'},,{'company': 'whose name is acme'},{},acme,DELETE
57,add a new company with name=american beauty and owner=kevin spacey,ADD,company,"{'name': 'American Beauty', 'owner': 'Kevin Spacey'}",,"{'company': 'company', 'name': 'name', None: 'beauty'}",{},American_Beauty,ADD
58,list company names sorted in ascending order,READ,company,{'names': 'sorted'},,"{'company': 'name', 'names': 'names', 'ascending_order': 'ascending order'}",{},sorted,READ
59,list companies sorted by name in ascending order,READ,company,{'name': 'ascending'},,"{'name': 'name', 'ascending_order': 'ascending order'}",{},sorted,READ
60,add a new company with name=american beauty and owner=janjo chiquim,ADD,company,"{'name': 'American Beauty', 'owner': 'janjo chiquim'}",,"{'company': 'company', 'name': 'name', 'american_beauty': 'name', 'owner': 'name'}",{},American_Beauty,ADD
61,add a new company with name=american beauty and owner=roger rommel,ADD,company,"{'name': 'American Beauty', 'owner': 'Roger Rommel'}",,"{'company': 'company', 'name': 'name', 'american_beauty': 'name', 'owner': 'name'}",{},American_Beauty,ADD
62,"list companies, sort by name",READ,company,{'sort': 'by name'},,{'companies': 'name'},{},ad,READ
63,list all companies,READ,company,,,{'companies': 'list'},{},a,READ
64,show all companies,READ,company,,,{'companies': 'companies'},{},a,READ
65,add company with name=roger arrombado,ADD,company,{'name': 'Roger Arrombado'},,{'company': 'name=roger arrombado'},{},ad_agency,ADD
66,get companies,READ,company,,,{'companies': 'companies'},{},cs,READ
67,include a company with name=mimoso construcoes,ADD,company,{'name': 'Mimoso Construcoes'},,{'company': 'name=mimoso construcoes'},{},construcoes,ADD
68,add company a,ADD,company,,,{'company': 'a'},{},a,ADD
69,add article with abstract equal to 'this is a good article',ADD,article,{'abstract': 'this is a good article'},,"{'abstract': 'abstract', 'good_article': 'good article'}",{},article,ADD
70,add an article with an abstract equal to 'this is a good article about de human history. the human narratives are around the technology evolution and it's impact on society.',ADD,article,"{'abstract': ""this is a good article about de human history. The human narratives are around the technology evolution and it's impact on society.""}",,"{'abstract': 'abstract', 'good_article': 'good article', 'human_narratives': 'human narratives', 'technology': 'technology', 'evolution': 'evolution', 'impact': 'impact', 'society': 'society'}",{},human_history,ADD
71,add a student with name mary,ADD,student,{'name': 'Mary'},,"{'student': 'student', 'name': 'name'}",{},mary,ADD
72,add student 👍,ADD,student,,,{},{},student,ADD
73,"i want to add a student with name 'rodrigo', age 20 and his skin color is white",ADD,student,"{'name': 'Rodrigo', 'age': '20', 'skin': 'white'}",,None,None,None,None
74,"now, i want to view all students",READ,student,,,None,None,None,None
75,i want to delete all students,DELETE,student,,,{'students': 'students'},{},i_want_to_delete_all_students,DELETE
76,delete students,DELETE,student,,,None,None,None,DELETE
77,delete students with id <= 4,DELETE,student,{'id': '4'},,{'students': 'students'},{},id,DELETE
78,delete students with idless than or equal to 4,DELETE,student,,,"{'students': 'students', 'idless': 'idless'}",{},idx,DELETE
79,delete students with id less than or equal to 4,DELETE,student,{'id': 'less than or equal to 4'},,{'students': 'with id less than or equal to 4'},{},id,DELETE
80,"delete students with id=1, id=2 and id=3",DELETE,student,,,"{'students': 'students', 'id': 'id'}",{},id_1,DELETE
81,get students with id <4,READ,student,{'id': '4'},,"{'students': 'students', 'id': 'id'}",{},4,READ
82,get all students with name 'rodrigo',READ,student,{'name': 'Rodrigo'},,"{'students': 'students', 'name': 'name'}",{},san_francisco,READ
83,"i want to change the name of a student with name 'rodrigo'. now, i want to set his name as 'rodrigo freitas'",UPDATE,student,{'name': 'Rodrigo Freitas'},{'name': 'Rodrigo'},None,None,None,None
84,delete 'update' from all students,DELETE,student,,,{'students': 'students'},{},update,DELETE
85,get all students that starts with 'r',READ,student,,,"{'students': 'students', 'r': 'r'}",{},r,READ
86,get all students starting with the letter r,READ,student,{'letter': 'R'},,{'students': 'starting with the letter r'},{},r,READ
87,get all students that the name starts with the letter r,READ,student,{'name': 'R'},,"{'students': 'students', 'name': 'name', 'letter': 'letter', 'r': 'letter'}",{},r,READ
88,"add film with name ""love, rosie"" and genre ""romance""",ADD,film,"{'name': 'love, Rosie', 'genre': 'romance'}",,"{'film': 'love, rosie', 'genre': 'genre'}",{},romance,ADD
89,show me the section film,READ,section_film,,,"{'section': 'section', 'film': 'film'}",{},section,READ
90,show me film,READ,film,,,{'film': 'film'},{},_film_,READ
91,"add film ""batman (2022)"" with genre=action",ADD,film,{'genre': 'action'},,"{'film': 'film', 'action': 'batman'}",{},action,ADD
92,"add film with name ""batman (2022)"" and genre=action",ADD,film,"{'name': 'Batman (2022)', 'genre': 'action'}",,"{'film': 'film', 'name': 'name', 'action': 'batman'}",{},action,ADD
93,"add a film with name ""avatar (2022)"" and genre=action, and another film with name=crepúsculo and genre ""drama""",ADD,film,"{'name': 'Avatar (2022)', 'genre': 'action'}",,"{'film': 'film', 'name': 'name', 'crepusculo': 'name', 'drama': 'name'}",{},action,ADD
94,"add a film with name ""avatar (2022)"" and genre=action",ADD,film,"{'name': 'Avatar (2022)', 'genre': 'action'}",,{'film': 'genre=action'},{},action,ADD
95,"now add film with name=crepúsculo and genre ""drama""",ADD,film,"{'name': 'Crepusculo', 'genre': 'Drama'}",,"{'film': 'genre', 'drama': 'genre'}",{},Crepsculo,ADD
96,"add film with name=crepúsculo and genre ""drama""",ADD,film,"{'name': 'Crepusculo', 'genre': 'Drama'}",,"{'film': 'film', 'name': 'name', 'crepusculo': 'name', 'drama': 'name'}",{},Crepsculo,ADD
97,"add film with name='crepúsculo' and genre ""drama""",ADD,film,"{'name': 'Crepusculo', 'genre': 'Drama'}",,"{'film': 'genre', 'drama': 'genre'}",{},Drama,ADD
98,"add film film with name='crepúsculo' and genre=""drama""",ADD,film,"{'name': 'Crepusculo', 'genre': 'Drama'}",,"{'film': 'film', 'name': 'name', 'crepusculo': 'name', 'drama': 'name'}",{},Drama,ADD
99,"add film with name='crepúsculo' and genre=""drama""",ADD,film,"{'name': 'Crepusculo', 'genre': 'Drama'}",,"{'film': 'film', 'name': 'name', 'crepusculo': 'name', 'drama': 'name'}",{},Drama,ADD
100,"add film with name ""crepúsculo"" and genre=drama",ADD,film,"{'name': 'Crepusculo', 'genre': 'Drama'}",,{'film': 'genre=drama'},{},Crepsculo,ADD
101,"add film with name ""crepusculo"" and genre=drama",ADD,film,"{'name': 'Crepusculo', 'genre': 'Drama'}",,{'film': 'genre=drama'},{},Crepusculo,ADD
102,show me film where action is the genre,READ,film,{'genre': 'action'},,{'film': 'genre'},{},genre,READ
103,show me film where genre = action,READ,film,{'genre': 'action'},,{'film': 'genre = action'},{},action,READ
104,add a student with name=anderson,ADD,student,{'name': 'anderson'},,"{'student': 'student', 'name': 'name'}",{},anderson,ADD
105,add a teacher with name equal to 'italo roger',ADD,teacher,{'name': 'Italo Roger'},,"{'teacher': 'teacher', 'name': 'name'}",{},adolescent,ADD
106,get all teachers,READ,teacher,,,{},{},teacher,READ
107,get teachers,READ,teacher,,,{},{},teacher,READ
108,give me all students,READ,student,,,{'students': 'students'},{},st,READ
109,add a former teacher with name = anderson,ADD,former_teacher,{'name': 'Anderson'},,{'former_teacher': 'anderson'},{},anderson,ADD
110,add a former student with name = roger,ADD,former_student,{'name': 'Roger'},,{'former_student': 'roger'},{},roger,ADD
111,"add a article with title=’dome: an experiment', abstract=’this
is a cool experiment’, keywords=’dome, ai, machine learning, self-drive systems, python’, data=’2023’, first author=’anderson
martins gomes’, co-author=’paulo henrique maia’, second author= ‘marina alves costa gomes’",ADD,article,"{'title': 'DoME: an experiment', 'abstract': 'this is a cool experiment', 'keywords': 'dome, ai, machine learning, self-drive systems, python', 'date': '2023', 'first_author': 'anderson martins gomes', 'co_author': 'paulo henrique maia', 'second_author': 'marina alves costa gomes'}",,{'’': 'dome'},{},domain__an_experiment,ADD
112,add a movie with name=final fantasy,ADD,film,{'name': 'Final Fantasy'},,{'movie': 'name=final fantasy'},{},ad,ADD
113,get movies,READ,film,,,{},{},film,READ
114,get filmes where id=3,READ,film,{'id': '3'},,{'filmes': 'where id=3'},{},id_3,READ
115,get films,READ,film,,,{'films': 'films'},{},adobe,READ
116,"update film with id=6, setting year to 2023",UPDATE,film,{'year': '2023'},{'id': '6'},{},None,year,UPDATE
117,add film with title=et,ADD,film,{'title': 'ET'},,"{'film': 'film', 'title': 'film', 'et': 'et'}",{},title_et,ADD
118,add student with name='anderson',ADD,student,{'name': 'anderson'},,"{'student': 'student', 'name': 'name'}",{},adolescent,ADD
119,get all films,READ,film,,,{'films': 'films'},{},adobe,READ
120,add a student with age=43,ADD,student,{'age': '43'},,"{'student': 'student', 'age': 'age'}",{},age_43,ADD
121,get student with name=julio,READ,student,{'name': 'Julio'},,"{'student': 'student', 'name': 'name'}",{},julio,READ
122,get student with name=anderson,READ,student,{'name': 'Anderson'},,"{'student': 'student', 'name': 'name'}",{},anderson,READ
123,add student with name=julio,ADD,student,{'name': 'Julio'},,"{'student': 'student', 'name': 'name'}",{},julio,ADD
124,list student,READ,student,,,None,None,None,None
125,add course with name='computer engineering',ADD,course,{'name': 'Computer Engineering'},,"{'course': 'course', 'name': 'name', 'computer': 'computer', 'engineering': 'engineering'}",{},computer_engineering,ADD
126,list all entities,READ,entities,,,{},{},a,READ
127,get courses,READ,course,,,{'courses': 'courses'},{},cs,READ
128,show course,READ,course,,,{},{},course,READ
129,get the class with name=student,READ,student,{'class': 'student'},,{'class': 'name=student'},{},student,READ
130,add student with name=abcd,ADD,student,{'name': 'abcd'},,{'student': 'name=abcd'},{},abcd,ADD
131,add student with name=abcdef,ADD,student,{'name': 'abcdef'},,"{'student': 'student', 'name': 'name'}",{},abcdef,ADD
132,"add student with name='maria', phone=123456",ADD,student,"{'name': 'maria', 'phone': '123456'}",,{'student': 'phone'},{},phone,ADD
134,add student with name joseph,ADD,student,{'name': 'Joseph'},,"{'student': 'student', 'name': 'name'}",{},st,ADD
135,update student age=40 when id= 4,UPDATE,student,{'age': '40'},{'id': '4'},{'id': 'id'},{'student': 'age'},id4,UPDATE
136,"add an article with title='dome: a reference architecture, publish year = 2023",ADD,article,"{'title': 'DoME: A Reference Architecture', 'publish_year': '2023'}",,"{'title': 'title', None: 'dome'}",{},domain__a_reference_architecture,ADD
137,"add an article with title='dome: a reference architecture', and the publish year = 2023",ADD,article,"{'title': 'DoME: A Reference Architecture', 'publish_year': '2023'}",,"{'title': 'title', None: 'dome'}",{},reseach_architecture,ADD
138,"add an article with title='dome: a reference architecture', and year = 2023",ADD,article,"{'title': 'DoME: A Reference Architecture', 'year': '2023'}",,{'2023': 'dome'},{},2023,ADD
139,get all articles,READ,article,,,{},{},article,READ
140,"add article with title='another article', and author='charles bronson'",ADD,article,"{'title': 'Another Article', 'author': 'Charles Bronson'}",,"{'title': 'another article', 'author': 'author'}",{},article,ADD
141,show me all articles,READ,article,,,{},{},article,READ
142,"update the article with id=1, setting the author='madona'",UPDATE,article,{'author': 'Madona'},{'id': '1'},{'author': 'author'},{'id': 'id'},article,UPDATE
143,i want you to show me all articles,READ,article,,,{},{},article,DELETE
144,"add a new article with title ""experimental demonstration of shor's quantum factoring algorithm using qubits""",ADD,article,"{'title': ""Experimental demonstration of Shor's quantum factoring algorithm using qubits""}",,"{'title': 'experiment', 'experimental_demonstration': 'experiment', '""': 'shor'}",{},quantum_factoring_algorithm,ADD
145,show all articles,READ,article,,,{},{},article,READ
146,"update article with id = 2, but now i want to set title as 'experimental demonstration of shor's quantum factoring algorithm using qubits'",UPDATE,article,"{'title': ""Experimental demonstration of Shor's quantum factoring algorithm using qubits""}",{'id': '2'},"{'id': 'id', 'article': 'shor'}",{},article,UPDATE
147,add a new article with title 'quantum machine learning',ADD,article,{'title': 'Quantum Machine Learning'},,"{""'"": 'quantum'}",{},Quantum_machine_learning,ADD
148,show me articles,READ,article,,,{},{},article,READ
149,"update the article with id 3, but now i want to set its year=2022",UPDATE,article,{'year': '2022'},{'id': '3'},{'year': 'year'},{'id': 'id'},article,UPDATE
150,show articles,READ,article,,,{},{},article,READ
151,add a new article with title='futuro deletado,ADD,article,{'title': 'futuro deletado'},,"{'title': 'title', 'deletado': 'deletado'}",{},Futuro_deletado,ADD
152,delete all articles with title='futuro deletado',DELETE,article,{'title': 'futuro deletado'},,{'title': 'futuro deletado'},{},article,DELETE
153,get blockages,READ,blockages,,,{},{},blockages,READ
154,"add a blockade with the localization ’222 road, km 13’",ADD,blockade,"{'localization': '222 road, km 13'}",,{'km': '222 road'},{},222_road__km_13,ADD
155,show me all blockages,READ,blockages,,,{},{},blockages,READ
156,show me all blockades,READ,blockade,,,{},{},blockade,READ
157,"add a blockade with the localization ’222 road, km 13’, and type='partial blockade'",ADD,blockade,"{'localization': '222 road, km 13', 'type': 'partial blockade'}",,"{'localization': '222 road, km 13', 'type': 'localization', 'partial_blockade': 'localization'}",{},222_road__km_13,ADD
158,get blockades,READ,blockade,,,{},{},blockade,READ
159,"add a blockade with the localization ’116 road, km 105’, and type='partial blockade'",ADD,blockade,"{'localization': '116 road, km 105', 'type': 'partial blockade'}",,"{'localization': '116 road, km 105', 'type': 'localization', 'partial_blockade': 'localization'}",{},116_road__km_105,ADD
160,add article with title 'shor's quantum',ADD,article,"{'title': ""Shor's Quantum""}",,{'title': 'title'},{},atom,ADD
167,add a student with name='mariana alves',ADD,student,{'name': 'Mariana Alves'},,"{'student': 'student', 'name': 'name'}",{},alves,ADD
168,show me all students,READ,student,,,{'students': 'students'},{},st,READ
169,show me all aritcles,READ,aritcles,,,{'aritcles': 'aritcles'},{},aritcles,READ
170,showme all articles,READ,article,{'showme': 'all articles'},,None,None,None,None
171,add an article with title='cautious adaptation of defiant components',ADD,article,{'title': 'Cautious Adaptation of Defiant Components'},,"{'title': 'title', 'cautious_adaptation': 'title', 'defiant_components': 'title'}",{},adobe_free,ADD
172,"update the article with id=6, setting the year=2019",UPDATE,article,{'year': '2019'},{'id': '6'},{'year': 'year'},{'id': 'id'},article,UPDATE
173,retrieve articles,READ,article,,,{},{},article,READ
174,view articles,READ,article,,,None,None,None,None
175,present me the list of articles,READ,article,{'list': 'articles'},,None,None,None,None
176,delete all articles with year=2019,DELETE,article,{'year': '2019'},,{'year': 'year'},{},article,DELETE
177,"please, add a pokemon with name=""pikachu""",ADD,pokemon,{'name': 'Pikachu'},,{'name': 'name'},{},pokemon,ADD
178,get pokemon,READ,pokemon,,,{},{},pokemon,READ
179,"update the pokemon with name ""pikachu"" and set its type=""electric""",UPDATE,pokemon,{'type': 'Electric'},{'name': 'pikachu'},{'pokemon': 'pikachu'},{'name': 'name'},pokemon,UPDATE
180,"update a pokemon with name=""pikachu"" by adding ""evolve_to""=""raichu""",UPDATE,pokemon,{'evolve_to': 'Raichu'},{'name': 'Pikachu'},{'pokemon': 'pikachu'},{'name': 'name'},pokemon,UPDATE
181,"update a pokemon with name=""pikachu"" by setting ""evolve_to""=""raichu""",UPDATE,pokemon,{'evolve_to': 'Raichu'},{'name': 'Pikachu'},{'pokemon': 'pikachu'},{'name': 'name'},pokemon,UPDATE
182,"update the pokemon with name=""pikachu"", setting ""evolve_to""=""raichu""",UPDATE,pokemon,{'evolve_to': 'Raichu'},{'name': 'Pikachu'},{'pokemon': 'pikachu'},{'name': 'name'},pokemon,UPDATE
183,"update a pokemon with name=""pikachu"" by setting evolve_to=""raichu""",UPDATE,pokemon,{'evolve_to': 'Raichu'},{'name': 'Pikachu'},{'pokemon': 'pikachu'},{'name': 'name'},pokemon,UPDATE
184,"update the pokemon with name=""pikachu"", setting evolve_to=""raichu""",UPDATE,pokemon,{'evolve_to': 'Raichu'},{'name': 'Pikachu'},{'pokemon': 'pikachu'},{'name': 'name'},pokemon,UPDATE
185,"update the pokemon with name=""pikachu"", setting evolveto=""raichu""",UPDATE,pokemon,{'evolve_to': 'Raichu'},{'name': 'Pikachu'},{},None,pokemon,UPDATE
186,"update the pokemon with name ""pikachu"", setting evolve_to=""raichu""",UPDATE,pokemon,{'evolve_to': 'Raichu'},{'name': 'Pikachu'},{},None,pokemon,UPDATE
187,"update the pokemon with name ""pikachu"", setting evolveto=""raichu""",UPDATE,pokemon,{'evolve_to': 'Raichu'},{'name': 'Pikachu'},{},None,pokemon,UPDATE
188,"update the pokemon with name=""pikachu"", setting the evolveto=""raichu""",UPDATE,pokemon,{'evolveto': 'Raichu'},{'name': 'Pikachu'},"{'name': 'name', 'pokemon': 'pikachu'}",{},pokemon,UPDATE
189,"update the pokemon with id=1, setting the evolveto=""raichu""",UPDATE,pokemon,{'evolveto': 'Raichu'},{'id': '1'},"{'evolveto': 'evolveto', 'raichu': 'evolveto'}",{'id': 'id'},pokemon,UPDATE
190,"update the pokemon with name=""pikachu"", setting the evolution=""raichu""",UPDATE,pokemon,{'evolution': 'Raichu'},{'name': 'Pikachu'},{'pokemon': 'pikachu'},{'name': 'name'},pokemon,UPDATE
191,"get pokemon with name=""pikachu""",READ,pokemon,{'name': 'Pikachu'},,{'name': 'name'},{},pokemon,READ
192,get pokemon with name pikachu,READ,pokemon,{'name': 'Pikachu'},,{'name': 'name'},{},pokemon,READ
193,"add a pokemon with name=""eevee"" and type=""normal""",ADD,pokemon,"{'name': 'Eevee', 'type': 'Normal'}",,"{'pokemon': 'pokemon', 'name': 'name', 'eevee': 'eevee'}",{},eevee,ADD
194,view pokemon,READ,pokemon,,,{},{},pokemon,READ
195,show me all pokemon,READ,pokemon,,,{},{},pokemon,READ
196,"delete the pokemon with name=""eevee""",DELETE,pokemon,{'name': 'Eevee'},,{'name': 'name'},{},pokemon,DELETE
197,get pokemons,READ,pokemon,,,{},{},pokemon,READ
198,show me all article,READ,article,,,{},{},article,READ
199,"add an article with title ""dragonfly""",ADD,article,{'title': 'Dragonfly'},,{'title': 'title'},{},dragonfly,ADD
200,"update the article with id=7, setting the year=2020.",UPDATE,article,{'year': '2020'},{'id': '7'},{'year': 'year'},{'id': 'id'},article,UPDATE
201,"update the article with id=7, setting the year1=2020",UPDATE,article,{'year1': '2020'},{'id': '7'},{'year1': 'year1'},{'id': 'id'},article,UPDATE
202,delete all articles with year=2020,DELETE,article,{'year': '2020'},,{'year': 'year'},{},article,DELETE
203,"i would like to add an article named ""advances in natural language processing"" and author=julia hirschberg and christopher d. manning",ADD,article,"{'name': 'advances in natural language processing', 'author': 'JULIA HIRSCHBERG and CHRISTOPHER D. MANNING'}",,None,None,None,None
204,"add article named ""advances in natural language processing"" and author=julia hirschberg and christopher d. manning",ADD,article,"{'name': 'advances in natural language processing', 'author': 'JULIA HIRSCHBERG and CHRISTOPHER D. MANNING'}",,"{'article': 'article', 'manning': 'advances'}",{},Advances_in_Natural_Language_Processing,ADD
205,"i would like to add an article with name ""advances in natural language processing"" and author=julia hirschberg and co-author= christopher d. manning",ADD,article,"{'name': 'Advances in natural language processing', 'author': 'JULIA HIRSCHBERG', 'co_author': 'CHRISTOPHER D. MANNING'}",,None,None,None,None
206,"add article with name ""advances in natural language processing"" and author=julia hirschberg and co-author= christopher d. manning",ADD,article,"{'name': 'Advances in natural language processing', 'author': 'JULIA HIRSCHBERG', 'co_author': 'CHRISTOPHER D. MANNING'}",,"{'article': 'article', 'name': 'name', 'manning': 'advances'}",{},Advances_in_Natural_Language_Processing,ADD
207,"add an article with name ""advances in natural language processing"", author=julia hirschberg, co-author= christopher d. manning",ADD,article,"{'name': 'Advances in natural language processing', 'author': 'JULIA HIRSCHBERG', 'co_author': 'CHRISTOPHER D. MANNING'}",,"{'article': 'article', 'name': 'name', 'manning': 'advances'}",{},advances_in_natural_language_processing,ADD
208,"add article with name ""advances in natural language processing"", author=julia hirschberg, co-author= christopher d. manning",ADD,article,"{'name': 'Advances in natural language processing', 'author': 'JULIA HIRSCHBERG', 'co_author': 'CHRISTOPHER D. MANNING'}",,"{'article': 'article', 'name': 'name', 'manning': 'advances'}",{},advances_in_natural_language_processing,ADD
209,show me all authors,READ,authors,,,{'authors': 'authors'},{},authors,READ
